time,10_wind_dir,10_wind_speed,tem,hum,ludian_tem,pre,vis
2019/12/1 0:00,10,5.2,4.6,88,2.8,1018.1,3612
2019/12/1 0:10,355,5.9,4.4,89,2.7,1018,2465
2019/12/1 0:20,352,6.1,4,89,2.4,1017.9,3895
2019/12/1 0:30,3,5.6,3.8,88,2,1017.9,4322
2019/12/1 0:40,6,5.3,3.6,88,1.8,1017.9,4632
2019/12/1 0:50,4,4.9,3.5,88,1.7,1017.9,4047
2019/12/1 1:00,357,4.7,3.5,89,1.9,1017.7,3825
2019/12/1 1:10,359,4.3,3.4,88,1.6,1017.6,4013
2019/12/1 1:20,355,4.9,3.4,88,1.6,1017.7,3795
2019/12/1 1:30,357,4.7,3.2,88,1.4,1017.7,3159
2019/12/1 1:40,5,4.6,3.2,89,1.6,1017.8,2891
2019/12/1 1:50,352,4.9,3.2,89,1.6,1017.8,2559
2019/12/1 2:00,348,4.8,3.2,90,1.7,1017.8,2431
2019/12/1 2:10,356,4.5,3.1,90,1.6,1017.8,2246
2019/12/1 2:20,353,5.1,3,90,1.5,1017.8,2051
2019/12/1 2:30,353,4.4,3,91,1.7,1017.8,1995
2019/12/1 2:40,344,4.9,2.9,91,1.6,1017.5,1751
2019/12/1 2:50,353,5,2.7,92,1.5,1017.6,1841
2019/12/1 3:00,354,5.2,2.7,92,1.5,1017.5,1988
2019/12/1 3:10,340,6.3,2.6,92,1.4,1017.4,1875
2019/12/1 3:20,346,5.3,2.7,93,1.7,1017.3,1626
2019/12/1 3:30,338,6,2.6,93,1.6,1017.2,1554
2019/12/1 3:40,338,5.2,2.7,93,1.7,1017.2,1553
2019/12/1 3:50,348,4.5,2.8,94,1.9,1017,1556
2019/12/1 4:00,342,5,2.8,94,1.9,1016.8,1453
2019/12/1 4:10,341,5.6,2.8,94,1.9,1016.8,1395
2019/12/1 4:20,348,3.9,2.9,94,2,1016.9,1279
2019/12/1 4:30,357,4.3,2.9,94,2,1016.8,1350
2019/12/1 4:40,346,4,2.9,94,2,1016.7,1360
2019/12/1 4:50,344,4.2,2.9,94,2,1016.7,1295
2019/12/1 5:00,337,5.6,2.9,94,2,1016.7,1385
2019/12/1 5:10,343,4.6,2.8,94,1.9,1016.7,1455
2019/12/1 5:20,338,6.2,2.7,93,1.7,1016.6,1582
2019/12/1 5:30,343,6.4,2.7,93,1.7,1016.5,1396
2019/12/1 5:40,339,6,2.7,94,1.8,1016.5,1418
2019/12/1 5:50,343,7,2.6,93,1.6,1016.6,1519
2019/12/1 6:00,341,5.9,2.6,94,1.7,1016.5,1505
2019/12/1 6:10,346,5.2,2.7,94,1.8,1016.5,1539
2019/12/1 6:20,355,5,2.7,94,1.8,1016.5,1724
2019/12/1 6:30,351,4.1,2.8,94,1.9,1016.5,1526
2019/12/1 6:40,347,5,2.9,94,2,1016.6,1609
2019/12/1 6:50,342,5.7,2.9,93,1.9,1016.6,1923
2019/12/1 7:00,343,6.3,2.9,93,1.9,1016.6,1666
2019/12/1 7:10,340,5.6,2.9,93,1.9,1016.7,1778
2019/12/1 7:20,342,6.4,2.9,92,1.7,1016.6,2113
2019/12/1 7:30,343,6.2,3,91,1.7,1016.6,2056
2019/12/1 7:40,339,6.1,3,89,1.4,1016.6,2053
2019/12/1 7:50,339,6.7,3,90,1.5,1016.7,1928
2019/12/1 8:00,345,6.1,3,90,1.5,1016.8,2286
2019/12/1 8:10,348,5.9,3,90,1.5,1016.8,2334
2019/12/1 8:20,341,6.1,3,90,1.5,1016.9,2194
2019/12/1 8:30,340,6.3,2.9,91,1.6,1016.8,2078
2019/12/1 8:40,340,6,2.9,91,1.6,1017,2202
2019/12/1 8:50,338,6.3,2.9,91,1.6,1016.9,2250
2019/12/1 9:00,339,5.3,3,92,1.8,1017,2151
2019/12/1 9:10,345,5.5,3.1,91,1.8,1017.2,2329
2019/12/1 9:20,342,6.1,3,90,1.5,1017.2,2530
2019/12/1 9:30,338,5.7,3.2,90,1.7,1017.1,2280
2019/12/1 9:40,340,6.8,3.1,89,1.5,1017.1,2466
2019/12/1 9:50,346,5.9,3.2,90,1.7,1017,2427
2019/12/1 10:00,341,6.6,3.3,89,1.7,1016.8,2850
2019/12/1 10:10,343,6.8,3.3,87,1.3,1016.8,3092
2019/12/1 10:20,346,6.2,3.3,86,1.2,1016.7,3758
2019/12/1 10:30,342,6.4,3.4,85,1.1,1016.5,4546
2019/12/1 10:40,338,5.7,3.6,84,1.2,1016.4,4570
2019/12/1 10:50,337,4.9,3.8,83,1.2,1016.1,4315
2019/12/1 11:00,340,5.6,3.8,83,1.2,1016,3964
