time,10_wind_dir,10_wind_speed,tem,hum,ludian_tem,vis
2019/12/1 0:00,10,5.2,4.6,88,2.8,3612
2019/12/1 0:10,355,5.9,4.4,89,2.7,2465
2019/12/1 0:20,352,6.1,4,89,2.4,3895
2019/12/1 0:30,3,5.6,3.8,88,2,4322
2019/12/1 0:40,6,5.3,3.6,88,1.8,4632
2019/12/1 0:50,4,4.9,3.5,88,1.7,4047
2019/12/1 1:00,357,4.7,3.5,89,1.9,3825
2019/12/1 1:10,359,4.3,3.4,88,1.6,4013
2019/12/1 1:20,355,4.9,3.4,88,1.6,3795
2019/12/1 1:30,357,4.7,3.2,88,1.4,3159
2019/12/1 1:40,5,4.6,3.2,89,1.6,2891
2019/12/1 1:50,352,4.9,3.2,89,1.6,2559
2019/12/1 2:00,348,4.8,3.2,90,1.7,2431
2019/12/1 2:10,356,4.5,3.1,90,1.6,2246
2019/12/1 2:20,353,5.1,3,90,1.5,2051
2019/12/1 2:30,353,4.4,3,91,1.7,1995
2019/12/1 2:40,344,4.9,2.9,91,1.6,1751
2019/12/1 2:50,353,5,2.7,92,1.5,1841
2019/12/1 3:00,354,5.2,2.7,92,1.5,1988
2019/12/1 3:10,340,6.3,2.6,92,1.4,1875
2019/12/1 3:20,346,5.3,2.7,93,1.7,1626
2019/12/1 3:30,338,6,2.6,93,1.6,1554
2019/12/1 3:40,338,5.2,2.7,93,1.7,1553
2019/12/1 3:50,348,4.5,2.8,94,1.9,1556
2019/12/1 4:00,342,5,2.8,94,1.9,1453
2019/12/1 4:10,341,5.6,2.8,94,1.9,1395
2019/12/1 4:20,348,3.9,2.9,94,2,1279
2019/12/1 4:30,357,4.3,2.9,94,2,1350
2019/12/1 4:40,346,4,2.9,94,2,1360
2019/12/1 4:50,344,4.2,2.9,94,2,1295
2019/12/1 5:00,337,5.6,2.9,94,2,1385
2019/12/1 5:10,343,4.6,2.8,94,1.9,1455
2019/12/1 5:20,338,6.2,2.7,93,1.7,1582
2019/12/1 5:30,343,6.4,2.7,93,1.7,1396
2019/12/1 5:40,339,6,2.7,94,1.8,1418
2019/12/1 5:50,343,7,2.6,93,1.6,1519
2019/12/1 6:00,341,5.9,2.6,94,1.7,1505
2019/12/1 6:10,346,5.2,2.7,94,1.8,1539
2019/12/1 6:20,355,5,2.7,94,1.8,1724
2019/12/1 6:30,351,4.1,2.8,94,1.9,1526
2019/12/1 6:40,347,5,2.9,94,2,1609
2019/12/1 6:50,342,5.7,2.9,93,1.9,1923
2019/12/1 7:00,343,6.3,2.9,93,1.9,1666
2019/12/1 7:10,340,5.6,2.9,93,1.9,1778
2019/12/1 7:20,342,6.4,2.9,92,1.7,2113
2019/12/1 7:30,343,6.2,3,91,1.7,2056
2019/12/1 7:40,339,6.1,3,89,1.4,2053
2019/12/1 7:50,339,6.7,3,90,1.5,1928
2019/12/1 8:00,345,6.1,3,90,1.5,2286
2019/12/1 8:10,348,5.9,3,90,1.5,2334
2019/12/1 8:20,341,6.1,3,90,1.5,2194
2019/12/1 8:30,340,6.3,2.9,91,1.6,2078
2019/12/1 8:40,340,6,2.9,91,1.6,2202
2019/12/1 8:50,338,6.3,2.9,91,1.6,2250
2019/12/1 9:00,339,5.3,3,92,1.8,2151
2019/12/1 9:10,345,5.5,3.1,91,1.8,2329
2019/12/1 9:20,342,6.1,3,90,1.5,2530
2019/12/1 9:30,338,5.7,3.2,90,1.7,2280
2019/12/1 9:40,340,6.8,3.1,89,1.5,2466
2019/12/1 9:50,346,5.9,3.2,90,1.7,2427
2019/12/1 10:00,341,6.6,3.3,89,1.7,2850
2019/12/1 10:10,343,6.8,3.3,87,1.3,3092
2019/12/1 10:20,346,6.2,3.3,86,1.2,3758
2019/12/1 10:30,342,6.4,3.4,85,1.1,4546
2019/12/1 10:40,338,5.7,3.6,84,1.2,4570
2019/12/1 10:50,337,4.9,3.8,83,1.2,4315
2019/12/1 11:00,340,5.6,3.8,83,1.2,3964
2019/12/1 11:10,330,5.2,4,85,1.7,3065
2019/12/1 11:20,338,5,4.1,85,1.8,3135
2019/12/1 11:30,330,5.4,4.2,83,1.6,3349
2019/12/1 11:40,333,5.6,4.3,81,1.3,3963
2019/12/1 11:50,338,5.7,4.4,79,1.1,4503
2019/12/1 12:00,339,6.5,4.7,77,1,5623
2019/12/1 12:10,333,5.9,4.8,76,0.9,5802
2019/12/1 12:20,328,6.4,5,76,1.1,5875
2019/12/1 12:30,325,6.3,5.2,74,1,7318
2019/12/1 12:40,331,7.2,5.3,71,0.5,10498
2019/12/1 12:50,329,6.8,5.3,68,-0.1,12124
2019/12/1 13:00,331,6.4,5.4,67,-0.2,11406
2019/12/1 13:10,331,7.4,5.3,62,-1.4,19415
2019/12/1 13:20,328,7.1,5.4,62,-1.3,17024
2019/12/1 13:30,327,7.8,5.4,58,-2.2,20243
2019/12/1 13:40,327,7.3,5.4,56,-2.7,21014
2019/12/1 13:50,330,7.5,5.3,51,-4,21483
2019/12/1 14:00,334,7.9,5.4,46,-5.3,25121
2019/12/1 14:10,336,7.8,5.6,49,-4.3,23331
2019/12/1 14:20,327,7.1,5.6,48,-4.5,28099
2019/12/1 14:30,334,7.3,5.6,48,-4.5,23605
2019/12/1 14:40,333,7,5.7,48,-4.4,23780
2019/12/1 14:50,336,7.1,5.8,47,-4.6,26976
2019/12/1 15:00,329,7.4,5.8,40,-6.8,30000
2019/12/1 15:10,332,8.3,5.8,40,-6.8,30000
2019/12/1 15:20,331,8.5,5.6,36,-8.3,27325
2019/12/1 15:30,331,7.1,5.4,38,-7.8,30000
2019/12/1 15:40,335,6.8,5.4,43,-6.2,29360
2019/12/1 15:50,332,6,5.2,45,-5.8,30000
2019/12/1 16:00,322,6.4,5.1,44,-6.1,26173
2019/12/1 16:10,325,6.7,4.9,43,-6.6,30000
2019/12/1 16:20,327,6.6,4.7,45,-6.2,30000
2019/12/1 16:30,328,6.4,4.6,47,-5.7,30000
2019/12/1 16:40,333,8.1,4.3,48,-5.7,30000
2019/12/1 16:50,338,6.5,4.2,52,-4.8,27411
2019/12/1 17:00,332,7.4,4,51,-5.2,29264
2019/12/1 17:10,333,7.7,3.9,54,-4.6,26666
2019/12/1 17:20,335,7.2,3.8,56,-4.2,24350
2019/12/1 17:30,328,7.1,3.7,56,-4.3,24019
2019/12/1 17:40,326,7.3,3.7,54,-4.7,30000
2019/12/1 17:50,329,7.1,3.7,53,-5,30000
2019/12/1 18:00,334,7.5,3.7,53,-5,30000
2019/12/1 18:10,330,7.2,3.6,53,-5.1,30000
2019/12/1 18:20,335,7.2,3.5,53,-5.2,30000
2019/12/1 18:30,331,6.8,3.5,55,-4.7,30000
2019/12/1 18:40,336,6.5,3.5,52,-5.4,30000
2019/12/1 18:50,339,7.3,3.3,53,-5.4,30000
2019/12/1 19:00,337,8.4,3.2,52,-5.7,30000
2019/12/1 19:10,338,7.8,3.2,53,-5.5,30000
2019/12/1 19:20,343,7,3.2,54,-5.2,27774
2019/12/1 19:30,337,7.1,3.3,56,-4.6,27242
2019/12/1 19:40,334,7.4,3.4,54,-5,30000
2019/12/1 19:50,334,7.4,3.4,52,-5.5,30000
2019/12/1 20:00,331,6.8,3.4,49,-6.3,30000
2019/12/1 20:10,336,7.7,3.5,49,-6.2,30000
2019/12/1 20:20,333,8,3.4,48,-6.6,30000
2019/12/1 20:30,331,7,3.3,47,-6.9,30000
2019/12/1 20:40,334,8.2,3.3,47,-6.9,30000
2019/12/1 20:50,329,8.2,3.2,47,-7,30000
2019/12/1 21:00,330,7.9,3.1,49,-6.6,29365
2019/12/1 21:10,337,8.7,3.1,49,-6.6,26925
2019/12/1 21:20,333,7.6,3,51,-6.1,27643
2019/12/1 21:30,333,7,3,52,-5.9,30000
2019/12/1 21:40,331,7.2,3,54,-5.4,29533
